id,name,type,parent_id,contents
16,study26,folder,1,
35,experiment60.txt,file,17,She had a difficult time owning up to her own crazy self.
31,experiment56.txt,file,9,At that moment she realized she had a sixth sense.
24,experiment49.txt,file,18,"Italy is my favorite country; in fact, I plan to spend two weeks there next year."
4,program11,folder,5,
21,experiment46.txt,file,15,I checked to make sure that he was still alive.
5,study15,folder,8,
26,experiment51.txt,file,10,The most exciting eureka moment I've had was when I realized that the instructions on food packets were just guidelines.
23,experiment48.txt,file,7,A kangaroo is really just a rabbit on steroids.
14,study24,folder,1,
17,study27,folder,2,
37,experiment62.txt,file,17,I ate a sock because people on the Internet told me to.
22,experiment47.txt,file,14,"Facing his greatest fear, he ate his first marshmallow."
30,experiment55.txt,file,15,When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.
27,experiment52.txt,file,18,Henry couldn't decide if he was an auto mechanic or a priest.
1,study11,folder,4,
11,study21,folder,1,
28,experiment53.txt,file,11,Each person who knows you has a different perception of who you are.
15,study25,folder,1,
32,experiment57.txt,file,6,The blue parrot drove by the hitchhiking mongoose.
6,study16,folder,8,
19,experiment44.txt,file,8,"Various sea birds are elegant, but nothing is as elegant as a gliding pelican."
7,study17,folder,8,
9,study19,folder,1,
20,experiment45.txt,file,7,The pet shop stocks everything you need to keep your anaconda happy.
36,experiment61.txt,file,8,There was no telling what thoughts would come from the machine.
39,experiment64.txt,file,14,We're careful about orange ping pong balls because people might think they're fruit.
33,experiment58.txt,file,11,The two walked down the slot canyon oblivious to the sound of thunder in the distance.
3,study13,folder,4,
2,study12,folder,4,
38,experiment63.txt,file,17,Nothing is as cautiously cuddly as a pet porcupine.
10,study20,folder,1,
8,program100,folder,,
13,study23,folder,1,
18,study28,folder,2,
25,experiment50.txt,file,9,He is no James Bond; his name is Roger Moore.
41,experiment66.txt,file,14,Her hair was windswept as she rode in the black convertible.
34,experiment59.txt,file,9,They were excited to see their first sloth.
12,study22,folder,1,
29,experiment54.txt,file,12,Random words in front of other random words create a random sentence.
40,experiment65.txt,file,8,The quick brown fox jumps over the lazy dog.